match,bet_on,odds,model_prob,raw_prob,fair_prob,edge,bet_amount,result,p&l,capital_after
Aston Villa vs Burnley,away_win,7.5,0.34944189570632067,0.2194416739388295,0.12893333333333332,0.22050856237298735,24.915639177193288,LOSS,-24.915639177193288,1220.8663196824712
Nottingham Forest vs Chelsea,draw,3.75,0.3394725223732915,0.2938682347457635,0.25786666666666663,0.08160585570662487,24.417326393649425,LOSS,-24.417326393649425,1196.4489932888218
Nottingham Forest vs Chelsea,draw,3.75,0.35304806640435876,0.19312864529138926,0.25786666666666663,0.09518139973769213,23.928979865776437,LOSS,-23.928979865776437,1172.5200134230454
Crystal Palace vs AFC Bournemouth,draw,3.6,0.34777672328986603,0.22845632340950184,0.26861111111111113,0.0791656121787549,23.450400268460907,WIN,60.97104069799836,1233.4910541210438
Crystal Palace vs AFC Bournemouth,draw,3.6,0.34830959660127553,0.22441572492967315,0.26861111111111113,0.0796984854901644,24.669821082420878,WIN,64.14153481429429,1297.6325889353382
Fulham vs Arsenal,home_win,5.0,0.3333666243492948,0.33656245042604654,0.19340000000000002,0.1399666243492948,25.952651778706763,LOSS,-25.952651778706763,1271.6799371566315
Fulham vs Arsenal,home_win,5.0,0.33384487781438926,0.33264276731806025,0.19340000000000002,0.14044487781438925,25.43359874313263,LOSS,-25.43359874313263,1246.2463384134987
West Ham United vs Brentford,draw,3.6,0.33575244568551416,0.3204085139865186,0.26861111111111113,0.06714133457440302,24.924926768269977,LOSS,-24.924926768269977,1221.3214116452289
West Ham United vs Brentford,draw,3.6,0.3375021377906734,0.30788079395677825,0.26861111111111113,0.06889102667956226,24.426428232904577,LOSS,-24.426428232904577,1196.8949834123243
Brentford vs Liverpool,home_win,6.5,0.3096747225525215,0.49671741515723083,0.14876923076923076,0.16090549178329072,23.937899668246487,LOSS,-23.937899668246487,1172.9570837440779
Brentford vs Liverpool,home_win,6.5,0.3134007855279621,0.4712976258530088,0.14876923076923076,0.1646315547587313,23.459141674881558,LOSS,-23.459141674881558,1149.4979420691964
AFC Bournemouth vs Nottingham Forest,draw,3.7,0.34509414738099226,0.2577538838001366,0.2613513513513513,0.08374279602964096,22.989958841383928,LOSS,-22.989958841383928,1126.5079832278125
Wolverhampton Wanderers vs Burnley,away_win,4.2,0.3212609466382012,0.42052038751919785,0.23023809523809521,0.09102285140010599,22.53015966455625,LOSS,-22.53015966455625,1103.9778235632562
Arsenal vs Crystal Palace,away_win,7.5,0.34445957165815505,0.25551934866778586,0.12893333333333332,0.21552623832482173,22.079556471265125,LOSS,-22.079556471265125,1081.898267091991
Wolverhampton Wanderers vs Burnley,away_win,4.2,0.3286525712338318,0.3666990856107042,0.23023809523809521,0.09841447599573658,21.637965341839823,LOSS,-21.637965341839823,1060.2603017501513
Arsenal vs Crystal Palace,away_win,7.5,0.3463591188912414,0.23856665958260903,0.12893333333333332,0.21742578555790806,21.205206035003027,LOSS,-21.205206035003027,1039.0550957151481
AFC Bournemouth vs Nottingham Forest,draw,3.7,0.35503423380111515,0.1843296862450717,0.2613513513513513,0.09368288244976386,20.781101914302962,LOSS,-20.781101914302962,1018.2739938008451
Burnley vs Arsenal,home_win,10.0,0.34119263210671036,0.27933987394820187,0.09670000000000001,0.24449263210671035,20.365479876016902,LOSS,-20.365479876016902,997.9085139248282
Fulham vs Wolverhampton Wanderers,away_win,5.25,0.35186314013121606,0.20186152799478604,0.18419047619047618,0.16767266394073987,19.958170278496564,WIN,84.82222368361039,1082.7307376084386
Burnley vs Arsenal,home_win,10.0,0.340082077168522,0.2892896580190333,0.09670000000000001,0.243382077168522,21.654614752168772,LOSS,-21.654614752168772,1061.0761228562699
Crystal Palace vs Brentford,draw,3.75,0.3534733394997333,0.19429447578869508,0.25786666666666663,0.09560667283306667,21.2215224571254,LOSS,-21.2215224571254,1039.8546003991444
Fulham vs Wolverhampton Wanderers,away_win,5.25,0.35016520613485524,0.224634404334559,0.18419047619047618,0.16597472994437906,20.797092007982886,WIN,88.38764103392727,1128.2422414330717
Crystal Palace vs Brentford,draw,3.75,0.3427099509196099,0.2736702267521657,0.25786666666666663,0.08484328425294324,22.564844828661435,LOSS,-22.564844828661435,1105.6773966044102
