match_time,home_team,away_team,result_score,predicted_result,b365_home_odds,b365_draw_odds,b365_away_odds,market_prob_h,market_prob_d,market_prob_a,model_prob_h,model_prob_d,model_prob_a,error_h,error_d,error_a,yield_per_match
2024-02-17 12:30:00,Brentford,Liverpool,A,A,6.5,5.0,1.42,0.13813229571984437,0.17957198443579767,0.632295719844358,0.14843996605680976,0.18540442819252512,0.6661556057506651,0.010307670336965391,0.005832443756727451,0.033859885906307174,0.41999999999999993
2024-02-17 15:00:00,Fulham,Aston Villa,A,A,2.9,3.3,2.5,0.3126246509772637,0.2747307538891105,0.3626445951336259,0.3353925866879235,0.28318055001992826,0.3814268632921483,0.02276793571065977,0.008449796130817755,0.01878226815852241,1.5
2024-02-17 15:00:00,Fulham,Aston Villa,A,A,2.9,3.75,2.2,0.3072926877082925,0.23763967849441284,0.4050676337972946,0.3294522049611626,0.24478514156852918,0.4257626534703081,0.02215951725287013,0.007145463074116343,0.020695019673013515,1.2000000000000002
2024-02-17 15:00:00,Fulham,Aston Villa,A,H,2.45,3.5,2.8,0.3689320388349514,0.258252427184466,0.32281553398058255,0.3951956605966679,0.26578845408756296,0.3390158853157691,0.026263621761716482,0.0075360269030969596,0.016200351335186547,-1.0
2024-02-17 15:00:00,Burnley,Arsenal,A,A,10.0,5.75,1.29,0.09055321746393806,0.1574838564590227,0.7019629260770391,0.0973627503527636,0.1626862665740977,0.7399509830731387,0.006809532888825534,0.0052024101150750235,0.03798805699609953,0.29000000000000004
2024-02-17 15:00:00,Nottingham Forest,West Ham United,H,A,4.2,3.6,1.85,0.21411167512690357,0.24979695431472088,0.48609137055837565,0.23006116270091237,0.2578790157072319,0.5120598215918558,0.015949487574008797,0.008082061392510997,0.025968451033480167,-1.0
2024-02-17 15:00:00,Nottingham Forest,West Ham United,H,H,2.38,3.5,2.9,0.37989520132377275,0.25832873690016545,0.3117760617760618,0.4068462401795735,0.26580621025065465,0.3273475495697718,0.026951038855800746,0.0074774733504892055,0.015571487793709982,1.38
2024-02-17 15:00:00,Nottingham Forest,West Ham United,H,H,2.15,3.5,3.4,0.4228539367869833,0.2597531325977183,0.2673929306152983,0.4524579897714226,0.2670389312180357,0.2805030790105417,0.0296040529844393,0.007285798620317363,0.013110148395243437,1.15
2024-02-19 20:00:00,Everton,Crystal Palace,D,H,2.6,3.2,2.87,0.3494672754946727,0.2839421613394216,0.31659056316590556,0.37470060526934723,0.29250525190756643,0.3327941428230862,0.025233329774674518,0.00856309056814486,0.016203579657180667,-1.0
2024-02-19 20:00:00,Everton,Crystal Palace,D,H,1.7,3.6,5.25,0.5289438798055678,0.24977905435262923,0.17127706584180288,0.5646004480955937,0.2561613144137416,0.17923823749066467,0.03565656829002595,0.006382260061112394,0.007961171648861787,-1.0
2024-02-19 20:00:00,Everton,Crystal Palace,D,A,2.7,3.3,2.63,0.3339428918590521,0.2732260024301336,0.34283110571081404,0.35809147966390464,0.2814943717144064,0.3604141486216889,0.024148587804852517,0.00826836928427277,0.01758304291087487,-1.0
2024-02-24 15:00:00,Crystal Palace,Burnley,H,H,1.95,3.5,4.0,0.46462882096069874,0.2588646288209607,0.2265065502183406,0.4967129291453617,0.2658875091307523,0.23739956172388607,0.03208410818466295,0.007022880309791646,0.010893011505545475,0.95
