match_id,league_id,league_name,season_id,home_team,away_team,status,collection_date
4221988,54,Bundesliga,2324,Freiburg,1. FC Köln,,2025-12-24T10:12:54.761730
4221989,54,Bundesliga,2324,Bayer Leverkusen,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4221986,54,Bundesliga,2324,Bayern München,VfB Stuttgart,,2025-12-24T10:12:54.761730
4221881,54,Bundesliga,2324,Werder Bremen,RB Leipzig,,2025-12-24T10:12:54.761730
4221875,54,Bundesliga,2324,Borussia Dortmund,Mainz 05,,2025-12-24T10:12:54.761730
4221880,54,Bundesliga,2324,Hoffenheim,Darmstadt,,2025-12-24T10:12:54.761730
4221876,54,Bundesliga,2324,Union Berlin,1. FC Köln,,2025-12-24T10:12:54.761730
4221877,54,Bundesliga,2324,Bayer Leverkusen,Bochum,,2025-12-24T10:12:54.761730
4221878,54,Bundesliga,2324,Eintracht Frankfurt,Borussia Mönchengladbach,,2025-12-24T10:12:54.761730
4221883,54,Bundesliga,2324,FC Heidenheim,Freiburg,,2025-12-24T10:12:54.761730
4221882,54,Bundesliga,2324,VfB Stuttgart,Augsburg,,2025-12-24T10:12:54.761730
4221879,54,Bundesliga,2324,Wolfsburg,Bayern München,,2025-12-24T10:12:54.761730
4221884,54,Bundesliga,2324,Bayern München,Hoffenheim,,2025-12-24T10:12:54.761730
4221891,54,Bundesliga,2324,Augsburg,Bayer Leverkusen,,2025-12-24T10:12:54.761730
4221889,54,Bundesliga,2324,1. FC Köln,FC Heidenheim,,2025-12-24T10:12:54.761730
4221886,54,Bundesliga,2324,Freiburg,Union Berlin,,2025-12-24T10:12:54.761730
4221887,54,Bundesliga,2324,Mainz 05,Wolfsburg,,2025-12-24T10:12:54.761730
4221885,54,Bundesliga,2324,RB Leipzig,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4221892,54,Bundesliga,2324,Darmstadt,Borussia Dortmund,,2025-12-24T10:12:54.761730
4221890,54,Bundesliga,2324,Bochum,Werder Bremen,,2025-12-24T10:12:54.761730
4221888,54,Bundesliga,2324,Borussia Mönchengladbach,VfB Stuttgart,,2025-12-24T10:12:54.761730
4221899,54,Bundesliga,2324,Bochum,VfB Stuttgart,,2025-12-24T10:12:54.761730
4221901,54,Bundesliga,2324,Darmstadt,Eintracht Frankfurt,,2025-12-24T10:12:54.761730
4221900,54,Bundesliga,2324,FC Heidenheim,Wolfsburg,,2025-12-24T10:12:54.761730
4221898,54,Bundesliga,2324,1. FC Köln,Borussia Dortmund,,2025-12-24T10:12:54.761730
4221895,54,Bundesliga,2324,Freiburg,Hoffenheim,,2025-12-24T10:12:54.761730
4221894,54,Bundesliga,2324,RB Leipzig,Bayer Leverkusen,,2025-12-24T10:12:54.761730
4221893,54,Bundesliga,2324,Bayern München,Werder Bremen,,2025-12-24T10:12:54.761730
4221897,54,Bundesliga,2324,Borussia Mönchengladbach,Augsburg,,2025-12-24T10:12:54.761730
4221968,54,Bundesliga,2324,Bayern München,Union Berlin,,2025-12-24T10:12:54.761730
4221905,54,Bundesliga,2324,Eintracht Frankfurt,Mainz 05,,2025-12-24T10:12:54.761730
4221909,54,Bundesliga,2324,Augsburg,Bayern München,,2025-12-24T10:12:54.761730
4221907,54,Bundesliga,2324,Hoffenheim,FC Heidenheim,,2025-12-24T10:12:54.761730
4221910,54,Bundesliga,2324,VfB Stuttgart,RB Leipzig,,2025-12-24T10:12:54.761730
4221908,54,Bundesliga,2324,Werder Bremen,Freiburg,,2025-12-24T10:12:54.761730
4221906,54,Bundesliga,2324,Wolfsburg,1. FC Köln,,2025-12-24T10:12:54.761730
4221904,54,Bundesliga,2324,Bayer Leverkusen,Borussia Mönchengladbach,,2025-12-24T10:12:54.761730
4221903,54,Bundesliga,2324,Union Berlin,Darmstadt,,2025-12-24T10:12:54.761730
4221902,54,Bundesliga,2324,Borussia Dortmund,Bochum,,2025-12-24T10:12:54.761730
4221918,54,Bundesliga,2324,FC Heidenheim,Borussia Dortmund,,2025-12-24T10:12:54.761730
4221911,54,Bundesliga,2324,Bayern München,Borussia Mönchengladbach,,2025-12-24T10:12:54.761730
4221917,54,Bundesliga,2324,Bochum,Augsburg,,2025-12-24T10:12:54.761730
4221919,54,Bundesliga,2324,Darmstadt,Bayer Leverkusen,,2025-12-24T10:12:54.761730
4221913,54,Bundesliga,2324,Freiburg,VfB Stuttgart,,2025-12-24T10:12:54.761730
