feature,importance
content_stats_Periods_FirstHalf_stats_1_stats_2_stats_max,0.002918427
content_stats_Periods_All_stats_1_stats_7_stats_std,0.0029144208
content_stats_Periods_All_stats_0_stats_2_stats_max,0.0028317457
content_stats_Periods_All_stats_1_stats_5_stats_std,0.0027991128
content_stats_Periods_All_stats_4_stats_2_stats_max,0.0027392558
content_stats_Periods_All_stats_1_stats_5_stats_max,0.0026763892
content_lineup_awayTeam_starters_1_performance_rating,0.0026017146
content_table_teams_min,0.0024214527
content_stats_Periods_All_stats_3_stats_total_count,0.0023742795
content_lineup_awayTeam_subs_0_performance_substitutionEvents_0_time,0.0023697591
content_lineup_awayTeam_starters_1_horizontalLayout_width,0.0021893394
content_stats_Periods_All_stats_4_stats_2_stats_mean,0.002148304
content_h2h_matches_0_status_started,0.0020753862
content_lineup_awayTeam_starters_8_verticalLayout_width,0.0018355935
content_lineup_awayTeam_starters_5_horizontalLayout_y,0.0017613085
content_table_teams_max,0.0014356794
content_lineup_awayTeam_starters_5_verticalLayout_y,0.0011498332
content_lineup_awayTeam_starters_4_verticalLayout_x,0.0011400692
content_stats_Periods_FirstHalf_stats_2_stats_total_count,0.00093023834
content_stats_Periods_FirstHalf_stats_1_stats_2_stats_sum,0.00016464706
content_stats_Periods_All_stats_3_stats_8_stats_mean,0.00010493037
content_stats_Periods_FirstHalf_stats_1_stats_home_away_diff,0.0
content_stats_Periods_FirstHalf_stats_1_stats_away_count,0.0
content_stats_Periods_FirstHalf_stats_1_stats_home_count,0.0
content_stats_Periods_FirstHalf_stats_1_stats_home_ratio,0.0
content_stats_Periods_FirstHalf_stats_1_stats_total_count,0.0
content_stats_Periods_FirstHalf_stats_0_stats_8_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_3_stats_home_count,0.0
content_stats_Periods_FirstHalf_stats_2_stats_4_stats_len,0.0
content_stats_Periods_FirstHalf_stats_2_stats_3_stats_len,0.0
content_stats_Periods_FirstHalf_stats_2_stats_2_stats_len,0.0
content_stats_Periods_FirstHalf_stats_2_stats_1_stats_len,0.0
content_lineup_awayTeam_subs_away_count,0.0
content_lineup_awayTeam_subs_home_count,0.0
content_table_teams_sum,0.0
content_stats_Periods_FirstHalf_stats_3_stats_away_ratio,0.0
content_h2h_matches_away_count,0.0
content_stats_Periods_FirstHalf_stats_0_stats_3_stats_sum,0.0
content_h2h_matches_away_ratio,0.0
content_h2h_matches_home_ratio,0.0
content_h2h_matches_home_away_diff,0.0
content_h2h_matches_home_count,0.0
header_status_cancelled,0.0
header_status_finished,0.0
content_stats_Periods_FirstHalf_stats_0_stats_6_stats_len,0.0
content_stats_Periods_FirstHalf_stats_0_stats_5_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_0_stats_4_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_3_stats_home_ratio,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_isBlocked,0.0
header_status_started,0.0
header_status_awarded,0.0
header_events_homeTeamGoals_Fazzini_0_isPenaltyShootoutEvent,0.0
header_events_homeTeamGoals_Fazzini_0_overloadTimeStr,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_expectedGoalsOnTarget,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_isFromInsideBox,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_isSavedOffLine,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_expectedGoals,0.0
content_stats_Periods_All_stats_5_stats_3_stats_len,0.0
content_stats_Periods_All_stats_5_stats_2_stats_len,0.0
content_stats_Periods_FirstHalf_stats_0_stats_1_stats_len,0.0
content_stats_Periods_All_stats_5_stats_0_stats_len,0.0
content_stats_Periods_All_stats_5_stats_away_ratio,0.0
content_stats_Periods_All_stats_5_stats_home_ratio,0.0
content_stats_Periods_All_stats_5_stats_home_away_diff,0.0
content_stats_Periods_All_stats_5_stats_away_count,0.0
content_stats_Periods_All_stats_6_stats_0_stats_len,0.0
content_stats_Periods_All_stats_6_stats_away_ratio,0.0
content_stats_Periods_All_stats_6_stats_home_ratio,0.0
content_stats_Periods_All_stats_6_stats_home_away_diff,0.0
content_stats_Periods_All_stats_6_stats_away_count,0.0
content_stats_Periods_All_stats_6_stats_home_count,0.0
content_stats_Periods_All_stats_5_stats_4_stats_len,0.0
content_stats_Periods_All_stats_5_stats_1_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_0_stats_7_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_1_stats_1_stats_std,0.0
content_stats_Periods_FirstHalf_stats_1_stats_1_stats_mean,0.0
content_stats_Periods_FirstHalf_stats_1_stats_0_stats_len,0.0
content_stats_Periods_FirstHalf_stats_1_stats_away_ratio,0.0
content_stats_Periods_FirstHalf_stats_0_stats_0_stats_sum,0.0
content_stats_Periods_FirstHalf_stats_0_stats_0_stats_max,0.0
content_stats_Periods_FirstHalf_stats_0_stats_0_stats_mean,0.0
content_stats_Periods_FirstHalf_stats_0_stats_away_ratio,0.0
content_stats_Periods_FirstHalf_stats_0_stats_home_ratio,0.0
content_stats_Periods_FirstHalf_stats_0_stats_home_away_diff,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_isOwnGoal,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_y,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_x,0.0
header_events_homeTeamGoals_Fazzini_0_timeStr,0.0
header_events_homeTeamGoals_Fazzini_0_isHome,0.0
header_events_homeTeamGoals_Fazzini_0_time,0.0
content_stats_Periods_FirstHalf_stats_0_stats_2_stats_sum,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_goalCrossedZ,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_goalCrossedY,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_onGoalShot_zoomRatio,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_onGoalShot_y,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_onGoalShot_x,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_isOnTarget,0.0
header_events_homeTeamGoals_Fazzini_0_shotmapEvent_min,0.0
content_lineup_awayTeam_starters_1_verticalLayout_width,0.0
content_lineup_awayTeam_starters_0_horizontalLayout_height,0.0
header_events_awayTeamGoals_Serdar_home_away_diff,0.0
header_events_awayTeamGoals_Serdar_0_shotmapEvent_expectedGoalsOnTarget,0.0
header_events_awayTeamGoals_Serdar_0_shotmapEvent_isFromInsideBox,0.0
header_events_awayTeamGoals_Serdar_0_shotmapEvent_isSavedOffLine,0.0
header_events_awayTeamGoals_Serdar_0_shotmapEvent_expectedGoals,0.0
header_events_awayTeamGoals_Serdar_0_shotmapEvent_goalCrossedZ,0.0
header_events_awayTeamGoals_Serdar_0_shotmapEvent_goalCrossedY,0.0
header_events_awayTeamGoals_Serdar_0_shotmapEvent_onGoalShot_zoomRatio,0.0
content_lineup_awayTeam_starters_6_horizontalLayout_height,0.0
content_stats_Periods_All_stats_6_stats_total_count,0.0
content_lineup_awayTeam_starters_6_horizontalLayout_y,0.0
content_lineup_awayTeam_starters_6_horizontalLayout_x,0.0
content_lineup_awayTeam_starters_6_verticalLayout_height,0.0
content_lineup_awayTeam_starters_6_verticalLayout_width,0.0
content_lineup_awayTeam_starters_6_verticalLayout_y,0.0
header_events_awayTeamGoals_Serdar_0_isPenaltyShootoutEvent,0.0
content_lineup_awayTeam_starters_8_verticalLayout_x,0.0
content_lineup_awayTeam_starters_7_horizontalLayout_height,0.0
content_lineup_awayTeam_starters_7_horizontalLayout_width,0.0
content_lineup_awayTeam_starters_7_horizontalLayout_y,0.0
content_lineup_awayTeam_starters_7_horizontalLayout_x,0.0
content_lineup_awayTeam_starters_7_verticalLayout_height,0.0
content_lineup_awayTeam_starters_6_horizontalLayout_width,0.0
content_lineup_awayTeam_subs_0_performance_substitutionEvents_home_away_diff,0.0
content_lineup_awayTeam_subs_0_performance_substitutionEvents_away_count,0.0
content_lineup_awayTeam_subs_0_performance_substitutionEvents_home_count,0.0
content_lineup_awayTeam_subs_0_performance_substitutionEvents_total_count,0.0
header_events_homeTeamGoals_Fazzini_away_ratio,0.0
header_events_homeTeamGoals_Fazzini_home_ratio,0.0
header_events_homeTeamGoals_Fazzini_home_away_diff,0.0
content_lineup_awayTeam_starters_home_ratio,0.0
content_lineup_awayTeam_starters_home_away_diff,0.0
