         3790170 function calls (3683532 primitive calls) in 2.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.013    0.013 utils.py:190(_register_tracking_stores)
        1    0.000    0.000    0.013    0.013 registry.py:49(register_entrypoints)
        4    0.000    0.000    0.013    0.003 _base.py:1(<module>)
     1037    0.001    0.000    0.013    0.000 _schema_gather.py:192(gather_schemas_for_cleaning)
   145112    0.013    0.000    0.013    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.013    0.013 _importlib_metadata.py:34(_original_entry_points_cached)
        1    0.000    0.000    0.013    0.013 __init__.py:1082(entry_points)
        1    0.000    0.000    0.013    0.013 index_tricks.py:1(<module>)
     2852    0.001    0.000    0.013    0.000 pathlib.py:757(joinpath)
        1    0.000    0.000    0.013    0.013 registry.py:407(_register_scorer_stores)
        1    0.000    0.000    0.013    0.013 registry.py:140(register_entrypoints)
    36964    0.007    0.000    0.013    0.000 _parser.py:261(get)
     3433    0.004    0.000    0.013    0.000 pathlib.py:484(_parse_args)
        1    0.000    0.000    0.013    0.013 rfc_constants.py:1(<module>)
1380/1261    0.001    0.000    0.013    0.000 _generate_schema.py:2233(_apply_single_annotation)
        1    0.000    0.000    0.013    0.013 dataset_source_registry.py:23(register_entrypoints)
      377    0.001    0.000    0.013    0.000 typing.py:723(Optional)
  981/951    0.001    0.000    0.013    0.000 shared.py:199(annotation_is_pydantic_v1)
        1    0.000    0.000    0.013    0.013 requirements.py:1(<module>)
      285    0.000    0.000    0.013    0.000 __init__.py:1091(<genexpr>)
        1    0.000    0.000    0.013    0.013 registry.py:35(register_entrypoints)
        2    0.000    0.000    0.013    0.006 _parser.py:1(<module>)
     2854    0.003    0.000    0.013    0.000 pathlib.py:530(_make_child)
2092/2065    0.001    0.000    0.012    0.000 {built-in method builtins.repr}
       23    0.000    0.000    0.012    0.001 main.py:1716(create_model)
     3068    0.003    0.000    0.012    0.000 functools.py:981(__get__)
        1    0.000    0.000    0.012    0.012 stores.py:474(_register_labeling_stores)
        1    0.000    0.000    0.012    0.012 stores.py:255(register_entrypoints)
       82    0.002    0.000    0.012    0.000 typing.py:2910(__new__)
