home_team,away_team,home_score,away_score,target,final_score,match_status,league,home_xg,away_xg,home_possession,away_possession,home_opening_odds,home_current_odds,external_id
Bayern München,RB Leipzig,6,0,2,6 - 0,Finished,Bundesliga,1.72,0.54,63,37,2.0,2.0,4824901
Santa Clara,Moreirense,0,1,0,0 - 1,Finished,Ligue 1,0.63,1.52,58,42,7.0,7.0,4844173
Manchester United,Arsenal,0,1,0,0 - 1,Finished,Premier League,1.52,1.31,61,39,7.0,7.0,4813382
Gil Vicente,FC Porto,0,2,0,0 - 2,Finished,Ligue 1,1.04,1.73,41,59,8.0,8.0,4844172
Chelsea,Crystal Palace,0,0,1,0 - 0,Finished,Premier League,1.6,0.66,72,28,7.0,7.0,4813381
Leeds United,Everton,1,0,2,1 - 0,Finished,Premier League,2.13,0.8,54,46,8.0,8.0,4813383
Sporting CP,Arouca,6,0,2,6 - 0,Finished,Ligue 1,3.05,0.22,57,43,7.0,7.0,4844176
Alverca,Braga,0,3,0,0 - 3,Finished,Ligue 1,2.21,1.5,33,67,7.0,7.0,4844171
Rio Ave,Nacional,1,1,1,1 - 1,Finished,Ligue 1,1.37,0.88,62,38,7.0,7.0,4844174
Brighton & Hove Albion,Fulham,1,1,1,1 - 1,Finished,Premier League,1.48,0.76,50,50,6.0,6.0,4813376
Tottenham Hotspur,Burnley,3,0,2,3 - 0,Finished,Premier League,2.32,0.94,67,33,6.0,6.0,4813379
Aston Villa,Newcastle United,0,0,1,0 - 0,Finished,Premier League,0.2,1.43,40,60,6.0,6.0,4813375
Vitoria de Guimaraes,Estoril,3,2,2,3 - 2,Finished,Ligue 1,1.88,0.94,55,45,6.0,6.0,4844175
Sunderland,West Ham United,3,0,2,3 - 0,Finished,Premier League,0.75,0.56,37,63,6.0,6.0,4813378
Liverpool,AFC Bournemouth,4,2,2,4 - 2,Finished,Premier League,2.21,1.7,61,39,5.0,5.0,4813374
Tondela,Famalicao,0,1,0,0 - 1,Finished,Ligue 1,1.08,1.08,49,51,6.0,6.0,4844177
Wolverhampton Wanderers,Manchester City,0,4,0,0 - 4,Finished,Premier League,0.56,2.47,42,58,6.0,6.0,4813380
Estrela da Amadora,Benfica,0,1,0,0 - 1,Finished,Ligue 1,1.41,2.41,43,57,6.0,6.0,4844178
Arsenal,Wolverhampton Wanderers,2,1,2,2 - 1,Finished,Premier League,1.13,0.38,69,31,35.0,35.0,4813525
Manchester City,Sunderland,3,0,2,3 - 0,Finished,Premier League,2.42,0.71,64,36,35.0,35.0,4813521
Hamburger SV,Werder Bremen,3,2,2,3 - 2,Finished,Bundesliga,1.31,0.71,54,46,2.2,2.2,4829426
Arouca,Braga,0,4,0,0 - 4,Finished,Ligue 1,0.06,2.84,16,84,2025.0,2025.0,4844260
Bayern München,Freiburg,6,2,2,6 - 2,Finished,Bundesliga,3.03,0.57,72,28,1.0,1.0,4829406
Manchester City,Leeds United,3,2,2,3 - 2,Finished,Premier League,3.1,1.54,62,38,1.0,1.0,4813500
Hoffenheim,RB Leipzig,3,1,2,3 - 1,Finished,Bundesliga,1.82,1.81,49,51,1.2,1.2,4829401
Manchester City,AFC Bournemouth,3,1,2,3 - 1,Finished,Premier League,2.22,0.72,48,52,9.0,9.0,4813470
Santa Clara,Sporting CP,1,2,0,1 - 2,Finished,Ligue 1,0.58,1.25,26,74,1.0,1.0,4844255
Mainz 05,Werder Bremen,1,1,1,1 - 1,Finished,Bundesliga,1.42,1.04,47,53,20.0,20.0,4829391
FC Heidenheim,Werder Bremen,2,2,1,2 - 2,Finished,Bundesliga,3.26,1.31,55,45,8.0,8.0,4829372
Hoffenheim,1. FC Köln,0,1,0,0 - 1,Finished,Bundesliga,1.12,0.94,61,39,0.2025,0.2025,4829366
Leeds United,AFC Bournemouth,2,2,1,2 - 2,Finished,Premier League,1.84,0.82,41,59,9.0,9.0,4813430
West Ham United,Crystal Palace,1,2,0,1 - 2,Finished,Premier League,0.66,2.31,57,43,34.0,34.0,4813423
Aston Villa,Fulham,3,1,2,3 - 1,Finished,Premier League,1.11,0.92,48,52,34.0,34.0,4813425
Sporting CP,Moreirense,3,0,2,3 - 0,Finished,Ligue 1,5.01,0.16,61,39,314774376.0,314774376.0,4844213
Mainz 05,RB Leipzig,0,1,0,0 - 1,Finished,Bundesliga,0.9,1.79,56,44,3.0,3.0,4829334
Vitoria de Guimaraes,Arouca,1,1,1,1 - 1,Finished,Ligue 1,0.35,0.46,54,46,9.0,9.0,4844194
Moreirense,Rio Ave,3,1,2,3 - 1,Finished,Ligue 1,2.25,1.17,54,46,3.0,3.0,4844201
1. FC Köln,Freiburg,4,1,2,4 - 1,Finished,Bundesliga,2.11,0.91,39,61,20.0,20.0,4829247
Aston Villa,Arsenal,2,1,2,2 - 1,Finished,Premier League,2.16,1.92,47,53,,,4813516
Alverca,Nacional,1,0,2,1 - 0,Finished,Ligue 1,1.9,0.96,50,50,,,4844271
Brighton & Hove Albion,West Ham United,1,1,1,1 - 1,Finished,Premier League,1.87,1.14,68,32,,,4813517
Famalicao,Braga,1,2,0,1 - 2,Finished,Ligue 1,1.4,2.76,43,57,,,4844277
Everton,Nottingham Forest,3,0,2,3 - 0,Finished,Premier League,1.12,0.53,41,59,,,4813518
Brighton & Hove Albion,Aston Villa,3,4,0,3 - 4,Finished,Premier League,2.21,2.41,56,44,,,4813507
VfB Stuttgart,Bayern München,0,5,0,0 - 5,Finished,Bundesliga,0.88,3.54,41,59,,,4829430
Newcastle United,Chelsea,2,2,1,2 - 2,Finished,Premier League,2.26,1.25,47,53,,,4813542
Manchester United,West Ham United,1,1,1,1 - 1,Finished,Premier League,1.8,0.79,65,35,,,4813512
Aston Villa,Wolverhampton Wanderers,1,0,2,1 - 0,Finished,Premier League,0.94,0.49,52,48,,,4813495
Everton,Newcastle United,1,4,0,1 - 4,Finished,Premier League,0.99,1.91,49,51,,,4813499
Nottingham Forest,Brighton & Hove Albion,0,2,0,0 - 2,Finished,Premier League,0.89,2.0,52,48,,,4813501
Crystal Palace,Manchester United,1,2,0,1 - 2,Finished,Premier League,1.83,1.19,44,56,,,4813498
Nacional,Benfica,1,2,0,1 - 2,Finished,Ligue 1,0.39,2.4,30,70,,,4844268
Hamburger SV,VfB Stuttgart,2,1,2,2 - 1,Finished,Bundesliga,0.98,0.75,34,66,,,4829419
Manchester United,Everton,0,1,0,0 - 1,Finished,Premier League,1.71,0.21,70,30,,,4813492
Newcastle United,Manchester City,2,1,2,2 - 1,Finished,Premier League,2.24,2.49,33,67,,,4813493
Leeds United,Aston Villa,1,2,0,1 - 2,Finished,Premier League,1.79,1.58,48,52,,,4813490
FC Porto,Braga,2,1,2,2 - 1,Finished,Ligue 1,0.93,0.91,31,69,,,4844249
Crystal Palace,Brighton & Hove Albion,0,0,1,0 - 0,Finished,Premier League,0.75,0.39,42,58,,,4813478
Braga,Moreirense,2,1,2,2 - 1,Finished,Ligue 1,2.22,0.83,53,47,,,4844256
Brentford,Newcastle United,3,1,2,3 - 1,Finished,Premier League,2.35,0.44,49,51,,,4813476
VfB Stuttgart,Augsburg,3,2,2,3 - 2,Finished,Bundesliga,2.35,1.93,62,38,,,4829402
Borussia Dortmund,VfB Stuttgart,3,3,1,3 - 3,Finished,Bundesliga,2.99,1.55,46,54,,,4829407
Nottingham Forest,Leeds United,3,1,2,3 - 1,Finished,Premier League,2.55,0.69,46,54,,,4813481
Liverpool,Nottingham Forest,0,3,0,0 - 3,Finished,Premier League,1.93,1.58,74,26,,,4813491
Famalicao,FC Porto,0,1,0,0 - 1,Finished,Ligue 1,0.27,1.24,46,54,1.2,1.2,4844254
VfB Stuttgart,Mainz 05,2,1,2,2 - 1,Finished,Bundesliga,1.94,1.45,59,41,,,4829385
Moreirense,FC Porto,1,2,0,1 - 2,Finished,Ligue 1,0.27,1.87,39,61,,,4844237
Tondela,Sporting CP,0,3,0,0 - 3,Finished,Ligue 1,0.37,2.48,34,66,,,4844241
Nacional,Famalicao,0,1,0,0 - 1,Finished,Ligue 1,0.39,1.62,44,56,20.0,20.0,4844247
Famalicao,Vitoria de Guimaraes,2,0,2,2 - 0,Finished,Ligue 1,1.68,0.5,50,50,,,4844236
Everton,Tottenham Hotspur,0,3,0,0 - 3,Finished,Premier League,1.74,1.72,54,46,,,4813460
Braga,Casa Pia AC,4,0,2,4 - 0,Finished,Ligue 1,2.61,0.21,61,39,,,4844238
Bayer Leverkusen,Freiburg,2,0,2,2 - 0,Finished,Bundesliga,1.71,0.72,69,31,,,4829379
Estoril,Nacional,1,1,1,1 - 1,Finished,Ligue 1,1.74,1.47,59,41,,,4844233
Brentford,Liverpool,3,2,2,3 - 2,Finished,Premier League,2.75,2.3,34,66,,,4813458
Hoffenheim,FC Heidenheim,3,1,2,3 - 1,Finished,Bundesliga,2.37,1.11,60,40,,,4829384
Chelsea,Sunderland,1,2,0,1 - 2,Finished,Premier League,0.89,1.31,68,32,,,4813459
Newcastle United,Fulham,2,1,2,2 - 1,Finished,Premier League,2.14,1.53,51,49,,,4813463
Arsenal,Crystal Palace,1,0,2,1 - 0,Finished,Premier League,0.92,0.45,60,40,,,4813456
Manchester United,Brighton & Hove Albion,4,2,2,4 - 2,Finished,Premier League,1.29,1.12,44,56,,,4813462
Borussia Dortmund,1. FC Köln,1,0,2,1 - 0,Finished,Bundesliga,1.9,0.39,70,30,,,4829381
Benfica,Arouca,5,0,2,5 - 0,Finished,Ligue 1,3.84,0.44,53,47,,,4844240
Borussia Mönchengladbach,Bayern München,0,3,0,0 - 3,Finished,Bundesliga,0.79,3.97,17,83,,,4829380
Wolverhampton Wanderers,Burnley,2,3,0,2 - 3,Finished,Premier League,2.28,1.43,57,43,,,4813464
VfB Stuttgart,FC Heidenheim,1,0,2,1 - 0,Finished,Bundesliga,0.99,0.38,64,36,,,4829367
Sporting CP,Braga,1,1,1,1 - 1,Finished,Ligue 1,1.43,1.31,44,56,,,4844231
Leeds United,West Ham United,2,1,2,2 - 1,Finished,Premier League,1.49,0.65,41,59,,,4813461
Hamburger SV,Wolfsburg,0,1,0,0 - 1,Finished,Bundesliga,2.77,0.37,61,39,,,4829383
Eintracht Frankfurt,St. Pauli,2,0,2,2 - 0,Finished,Bundesliga,2.26,0.39,51,49,,,4829382
West Ham United,Brentford,0,2,0,0 - 2,Finished,Premier League,0.35,2.37,44,56,,,4813454
Augsburg,RB Leipzig,0,6,0,0 - 6,Finished,Bundesliga,0.73,2.77,50,50,,,4829378
Werder Bremen,Union Berlin,1,0,2,1 - 0,Finished,Bundesliga,0.95,0.58,58,42,,,4829386
Alverca,Gil Vicente,0,4,0,0 - 4,Finished,Ligue 1,1.47,1.62,56,44,,,4844235
FC Porto,Benfica,0,0,1,0 - 0,Finished,Ligue 1,0.68,0.12,51,49,,,4844232
1. FC Köln,VfB Stuttgart,1,2,0,1 - 2,Finished,Bundesliga,1.08,1.87,43,57,,,4829353
Aston Villa,Burnley,2,1,2,2 - 1,Finished,Premier League,1.16,0.4,55,45,,,4813437
Nottingham Forest,Sunderland,0,1,0,0 - 1,Finished,Premier League,1.68,1.66,65,35,,,4813433
Manchester United,Sunderland,2,0,2,2 - 0,Finished,Premier League,1.84,0.71,50,50,,,4813442
Braga,Nacional,0,1,0,0 - 1,Finished,Ligue 1,0.61,1.77,60,40,,,4844220
Newcastle United,Arsenal,1,2,0,1 - 2,Finished,Premier League,0.61,2.04,37,63,,,4813432
Nacional,Moreirense,3,2,2,3 - 2,Finished,Ligue 1,2.64,1.97,58,42,,,4844229
Wolverhampton Wanderers,Brighton & Hove Albion,1,1,1,1 - 1,Finished,Premier League,0.56,0.92,42,58,,,4813444
Newcastle United,Nottingham Forest,2,0,2,2 - 0,Finished,Premier League,3.45,0.3,51,49,,,4813443
Burnley,Nottingham Forest,1,1,1,1 - 1,Finished,Premier League,0.85,1.1,37,63,,,4813418
Brighton & Hove Albion,Tottenham Hotspur,2,2,1,2 - 2,Finished,Premier League,1.32,1.22,36,64,,,4813417
Leeds United,Newcastle United,0,0,1,0 - 0,Finished,Premier League,0.69,0.46,43,57,,,4813398
Braga,AVS Futebol SAD,2,2,1,2 - 2,Finished,Ligue 1,2.08,0.51,76,24,,,4844183
VfB Stuttgart,Borussia Mönchengladbach,1,0,2,1 - 0,Finished,Bundesliga,0.84,1.82,51,49,,,4829243
Newcastle United,Liverpool,2,3,0,2 - 3,Finished,Premier League,0.98,0.69,38,62,,,4813393
Manchester United,Burnley,3,2,2,3 - 2,Finished,Premier League,3.63,1.2,62,38,,,4813400
Nacional,Arouca,1,2,0,1 - 2,Finished,Ligue 1,2.7,1.22,58,42,,,4844211
Borussia Mönchengladbach,Werder Bremen,0,4,0,0 - 4,Finished,Bundesliga,1.48,2.09,55,45,4.0,4.0,4829335
Union Berlin,VfB Stuttgart,2,1,2,2 - 1,Finished,Bundesliga,0.34,1.73,25,75,,,4829226
Brentford,Aston Villa,1,0,2,1 - 0,Finished,Premier League,1.21,1.19,24,76,,,4813387
Everton,Brighton & Hove Albion,2,0,2,2 - 0,Finished,Premier League,1.6,2.43,42,58,,,4813390
Nacional,Sporting CP,1,4,0,1 - 4,Finished,Ligue 1,0.66,2.59,26,74,,,4844179
Moreirense,Vitoria de Guimaraes,2,0,2,2 - 0,Finished,Ligue 1,1.54,0.29,48,52,30.0,30.0,4844187
West Ham United,Chelsea,1,5,0,1 - 5,Finished,Premier League,0.73,2.74,41,59,5.0,5.0,4813394
